"meth","item","repl","y"
"J",1,1,100
"J",2,1,108
"J",3,1,76
"J",4,1,108
"J",5,1,124
"J",6,1,122
"J",7,1,116
"J",8,1,114
"J",9,1,100
"J",10,1,108
"J",11,1,100
"J",12,1,108
"J",13,1,112
"J",14,1,104
"J",15,1,106
"J",16,1,122
"J",17,1,100
"J",18,1,118
"J",19,1,140
"J",20,1,150
"J",21,1,166
"J",22,1,148
"J",23,1,174
"J",24,1,174
"J",25,1,140
"J",26,1,128
"J",27,1,146
"J",28,1,146
"J",29,1,220
"J",30,1,208
"J",31,1,94
"J",32,1,114
"J",33,1,126
"J",34,1,124
"J",35,1,110
"J",36,1,90
"J",37,1,106
"J",38,1,218
"J",39,1,130
"J",40,1,136
"J",41,1,100
"J",42,1,100
"J",43,1,124
"J",44,1,164
"J",45,1,100
"J",46,1,136
"J",47,1,114
"J",48,1,148
"J",49,1,160
"J",50,1,84
"J",51,1,156
"J",52,1,110
"J",53,1,100
"J",54,1,100
"J",55,1,86
"J",56,1,106
"J",57,1,108
"J",58,1,168
"J",59,1,166
"J",60,1,146
"J",61,1,204
"J",62,1,96
"J",63,1,134
"J",64,1,138
"J",65,1,134
"J",66,1,156
"J",67,1,124
"J",68,1,114
"J",69,1,112
"J",70,1,112
"J",71,1,202
"J",72,1,132
"J",73,1,158
"J",74,1,88
"J",75,1,170
"J",76,1,182
"J",77,1,112
"J",78,1,120
"J",79,1,110
"J",80,1,112
"J",81,1,154
"J",82,1,116
"J",83,1,108
"J",84,1,106
"J",85,1,122
"J",1,2,106
"J",2,2,110
"J",3,2,84
"J",4,2,104
"J",5,2,112
"J",6,2,140
"J",7,2,108
"J",8,2,110
"J",9,2,108
"J",10,2,92
"J",11,2,106
"J",12,2,112
"J",13,2,112
"J",14,2,108
"J",15,2,108
"J",16,2,122
"J",17,2,102
"J",18,2,118
"J",19,2,134
"J",20,2,148
"J",21,2,154
"J",22,2,156
"J",23,2,172
"J",24,2,166
"J",25,2,144
"J",26,2,134
"J",27,2,138
"J",28,2,152
"J",29,2,218
"J",30,2,200
"J",31,2,84
"J",32,2,124
"J",33,2,120
"J",34,2,124
"J",35,2,120
"J",36,2,90
"J",37,2,106
"J",38,2,202
"J",39,2,128
"J",40,2,136
"J",41,2,96
"J",42,2,98
"J",43,2,116
"J",44,2,168
"J",45,2,102
"J",46,2,126
"J",47,2,108
"J",48,2,120
"J",49,2,150
"J",50,2,92
"J",51,2,162
"J",52,2,98
"J",53,2,106
"J",54,2,102
"J",55,2,74
"J",56,2,100
"J",57,2,110
"J",58,2,188
"J",59,2,150
"J",60,2,142
"J",61,2,198
"J",62,2,94
"J",63,2,126
"J",64,2,144
"J",65,2,136
"J",66,2,160
"J",67,2,138
"J",68,2,110
"J",69,2,116
"J",70,2,116
"J",71,2,220
"J",72,2,136
"J",73,2,162
"J",74,2,76
"J",75,2,174
"J",76,2,176
"J",77,2,114
"J",78,2,118
"J",79,2,108
"J",80,2,112
"J",81,2,134
"J",82,2,112
"J",83,2,110
"J",84,2,98
"J",85,2,112
"J",1,3,107
"J",2,3,108
"J",3,3,82
"J",4,3,104
"J",5,3,112
"J",6,3,124
"J",7,3,102
"J",8,3,112
"J",9,3,112
"J",10,3,100
"J",11,3,104
"J",12,3,122
"J",13,3,110
"J",14,3,104
"J",15,3,102
"J",16,3,114
"J",17,3,102
"J",18,3,120
"J",19,3,138
"J",20,3,144
"J",21,3,154
"J",22,3,134
"J",23,3,166
"J",24,3,150
"J",25,3,144
"J",26,3,130
"J",27,3,140
"J",28,3,148
"J",29,3,220
"J",30,3,192
"J",31,3,86
"J",32,3,116
"J",33,3,122
"J",34,3,132
"J",35,3,128
"J",36,3,94
"J",37,3,110
"J",38,3,208
"J",39,3,130
"J",40,3,130
"J",41,3,88
"J",42,3,88
"J",43,3,122
"J",44,3,154
"J",45,3,100
"J",46,3,122
"J",47,3,122
"J",48,3,132
"J",49,3,148
"J",50,3,98
"J",51,3,152
"J",52,3,98
"J",53,3,106
"J",54,3,94
"J",55,3,76
"J",56,3,110
"J",57,3,106
"J",58,3,178
"J",59,3,154
"J",60,3,132
"J",61,3,188
"J",62,3,86
"J",63,3,124
"J",64,3,140
"J",65,3,142
"J",66,3,154
"J",67,3,138
"J",68,3,114
"J",69,3,122
"J",70,3,134
"J",71,3,228
"J",72,3,134
"J",73,3,152
"J",74,3,88
"J",75,3,176
"J",76,3,180
"J",77,3,124
"J",78,3,120
"J",79,3,106
"J",80,3,106
"J",81,3,130
"J",82,3,94
"J",83,3,114
"J",84,3,100
"J",85,3,112
"R",1,1,98
"R",2,1,108
"R",3,1,76
"R",4,1,110
"R",5,1,128
"R",6,1,124
"R",7,1,118
"R",8,1,112
"R",9,1,100
"R",10,1,108
"R",11,1,102
"R",12,1,108
"R",13,1,114
"R",14,1,104
"R",15,1,104
"R",16,1,118
"R",17,1,102
"R",18,1,116
"R",19,1,138
"R",20,1,148
"R",21,1,164
"R",22,1,136
"R",23,1,170
"R",24,1,174
"R",25,1,140
"R",26,1,128
"R",27,1,146
"R",28,1,146
"R",29,1,220
"R",30,1,204
"R",31,1,94
"R",32,1,112
"R",33,1,124
"R",34,1,126
"R",35,1,110
"R",36,1,88
"R",37,1,106
"R",38,1,218
"R",39,1,128
"R",40,1,136
"R",41,1,100
"R",42,1,100
"R",43,1,126
"R",44,1,164
"R",45,1,100
"R",46,1,136
"R",47,1,114
"R",48,1,146
"R",49,1,160
"R",50,1,86
"R",51,1,156
"R",52,1,108
"R",53,1,100
"R",54,1,100
"R",55,1,88
"R",56,1,106
"R",57,1,106
"R",58,1,170
"R",59,1,164
"R",60,1,144
"R",61,1,206
"R",62,1,96
"R",63,1,132
"R",64,1,140
"R",65,1,136
"R",66,1,156
"R",67,1,122
"R",68,1,112
"R",69,1,112
"R",70,1,114
"R",71,1,200
"R",72,1,134
"R",73,1,158
"R",74,1,90
"R",75,1,172
"R",76,1,184
"R",77,1,112
"R",78,1,118
"R",79,1,110
"R",80,1,112
"R",81,1,156
"R",82,1,118
"R",83,1,106
"R",84,1,104
"R",85,1,122
"R",1,2,98
"R",2,2,112
"R",3,2,88
"R",4,2,100
"R",5,2,112
"R",6,2,140
"R",7,2,110
"R",8,2,108
"R",9,2,106
"R",10,2,98
"R",11,2,108
"R",12,2,116
"R",13,2,112
"R",14,2,108
"R",15,2,106
"R",16,2,122
"R",17,2,102
"R",18,2,118
"R",19,2,136
"R",20,2,146
"R",21,2,154
"R",22,2,154
"R",23,2,170
"R",24,2,166
"R",25,2,144
"R",26,2,134
"R",27,2,138
"R",28,2,152
"R",29,2,218
"R",30,2,200
"R",31,2,84
"R",32,2,126
"R",33,2,120
"R",34,2,126
"R",35,2,122
"R",36,2,88
"R",37,2,108
"R",38,2,200
"R",39,2,126
"R",40,2,138
"R",41,2,96
"R",42,2,98
"R",43,2,116
"R",44,2,168
"R",45,2,104
"R",46,2,124
"R",47,2,108
"R",48,2,130
"R",49,2,152
"R",50,2,92
"R",51,2,158
"R",52,2,100
"R",53,2,108
"R",54,2,102
"R",55,2,76
"R",56,2,100
"R",57,2,118
"R",58,2,188
"R",59,2,150
"R",60,2,142
"R",61,2,198
"R",62,2,94
"R",63,2,126
"R",64,2,142
"R",65,2,134
"R",66,2,162
"R",67,2,140
"R",68,2,114
"R",69,2,114
"R",70,2,114
"R",71,2,220
"R",72,2,136
"R",73,2,164
"R",74,2,76
"R",75,2,174
"R",76,2,174
"R",77,2,112
"R",78,2,116
"R",79,2,108
"R",80,2,110
"R",81,2,136
"R",82,2,114
"R",83,2,110
"R",84,2,100
"R",85,2,114
"R",1,3,111
"R",2,3,110
"R",3,3,82
"R",4,3,106
"R",5,3,114
"R",6,3,126
"R",7,3,102
"R",8,3,112
"R",9,3,112
"R",10,3,100
"R",11,3,106
"R",12,3,120
"R",13,3,110
"R",14,3,104
"R",15,3,102
"R",16,3,114
"R",17,3,100
"R",18,3,118
"R",19,3,134
"R",20,3,144
"R",21,3,148
"R",22,3,132
"R",23,3,164
"R",24,3,154
"R",25,3,144
"R",26,3,130
"R",27,3,138
"R",28,3,148
"R",29,3,220
"R",30,3,190
"R",31,3,88
"R",32,3,118
"R",33,3,120
"R",34,3,120
"R",35,3,126
"R",36,3,94
"R",37,3,110
"R",38,3,206
"R",39,3,128
"R",40,3,128
"R",41,3,86
"R",42,3,88
"R",43,3,122
"R",44,3,154
"R",45,3,102
"R",46,3,122
"R",47,3,122
"R",48,3,132
"R",49,3,146
"R",50,3,98
"R",51,3,152
"R",52,3,98
"R",53,3,108
"R",54,3,96
"R",55,3,76
"R",56,3,108
"R",57,3,106
"R",58,3,182
"R",59,3,154
"R",60,3,130
"R",61,3,188
"R",62,3,84
"R",63,3,124
"R",64,3,138
"R",65,3,140
"R",66,3,156
"R",67,3,136
"R",68,3,114
"R",69,3,124
"R",70,3,136
"R",71,3,226
"R",72,3,132
"R",73,3,150
"R",74,3,86
"R",75,3,178
"R",76,3,178
"R",77,3,126
"R",78,3,120
"R",79,3,106
"R",80,3,106
"R",81,3,132
"R",82,3,96
"R",83,3,114
"R",84,3,100
"R",85,3,114
"S",1,1,122
"S",2,1,121
"S",3,1,95
"S",4,1,127
"S",5,1,140
"S",6,1,139
"S",7,1,122
"S",8,1,130
"S",9,1,119
"S",10,1,126
"S",11,1,107
"S",12,1,123
"S",13,1,131
"S",14,1,123
"S",15,1,127
"S",16,1,142
"S",17,1,104
"S",18,1,117
"S",19,1,139
"S",20,1,143
"S",21,1,181
"S",22,1,149
"S",23,1,173
"S",24,1,160
"S",25,1,158
"S",26,1,139
"S",27,1,153
"S",28,1,138
"S",29,1,228
"S",30,1,190
"S",31,1,103
"S",32,1,131
"S",33,1,131
"S",34,1,126
"S",35,1,121
"S",36,1,97
"S",37,1,116
"S",38,1,215
"S",39,1,141
"S",40,1,153
"S",41,1,113
"S",42,1,109
"S",43,1,145
"S",44,1,192
"S",45,1,112
"S",46,1,152
"S",47,1,141
"S",48,1,206
"S",49,1,151
"S",50,1,112
"S",51,1,162
"S",52,1,117
"S",53,1,119
"S",54,1,136
